experiment_name,machine_name,request_throughput_avg,request_latency_avg_ms,request_latency_std_ms,time_to_first_token_avg_ms,time_to_first_token_std_ms,inter_token_latency_avg_ms,inter_token_latency_std_ms,time_to_second_token_avg_ms,time_to_second_token_std_ms,output_token_throughput_avg,output_token_throughput_std,request_latency_ms_p50,request_latency_ms_p90,request_latency_ms_p99,ttft_ms_p50,ttft_ms_p90,ttft_ms_p99,ttst_ms_p50,ttst_ms_p90,ttst_ms_p99,inter_token_latency_ms_p50,inter_token_latency_ms_p90,inter_token_latency_ms_p99,input_sequence_length_avg,input_sequence_length_std,output_sequence_length_avg,output_sequence_length_std,avg_concurrency
N2_poti_PP_long_r1_780376,"poti[1,5]",0.05693066568654451,17561.504579566667,7.605487188476267,397.2611667,0.4681191299803324,33.88819969703423,0.2914820597298693,33.45854646666666,0.17915801017681443,29.510965114874416,0.25210203677820225,17560.344847499997,17568.748373899998,17583.86785157,397.2688665,397.9448936,398.11140656,33.49956,33.6628292,33.72695984,33.93750526956913,34.1554317386101,34.61551906044116,1024.0,0.0,507.53333333333336,4.400104491967195,0.9997881461720303
N2_poti_TP_short_r1_780378,"poti[1,5]",0.24181679081378527,4133.885852033333,12.290392909053137,555.1361918333333,0.7800709036223601,28.18657260050202,0.10222314581541994,28.177834999999998,0.32252302217660883,35.47835144106544,0.12843144193156383,4126.9170914999995,4152.2012622,4157.050199949999,555.147252,555.9569127999999,556.69477232,28.1074305,28.488396899999998,29.10816221,28.12736644488189,28.330452162923383,28.36048425929134,128.0,0.0,127.96666666666667,0.18257418583505536,0.9996430103292111
N2_poti_PP_short_r1_780413,"poti[1,3]",0.23183964376367572,4311.656247733334,2.8449256459013936,78.80358256666666,0.25641182740917434,33.32086848010171,0.05137284623483158,33.196646566666665,0.12103384521135217,30.01129431291715,0.04653683976755753,4311.5821735,4315.2025765,4317.8923613199995,78.81149099999999,79.1056679,79.26526439,33.202718000000004,33.3297177,33.40231648,33.32637674409449,33.35719590708661,33.38084738173228,128.0,0.0,128.03333333333333,0.18257418583505536,0.9996128485059228
N1_tupi_none_short_r1_780423,tupi6,0.47197797438045225,2117.0534849333335,0.7079689591679347,25.959997066666666,0.3133304981981947,16.47857535963085,0.07024420734541205,16.331816933333332,0.2011089549182952,60.68593667859663,0.25312912954061345,2117.0846469999997,2118.032648,2118.32061054,25.914198999999996,26.1735074,27.01213823,16.361537,16.4206576,16.48093945,16.465978846456693,16.473826703149605,16.745563062971808,128.0,0.0,127.9,0.5477225575051659,0.999202615473912
N2_poti_TP_long_r1_780377,"poti[1,5]",0.05423643049625377,18434.523030933335,51.40843225781409,3861.7699760666665,3.9064704988175096,28.783392551995995,0.36021307811275916,28.279900066666666,0.3102762569741072,34.74754941715434,0.4230968951244987,18436.8721475,18492.0769137,18509.94627147,3861.034535,3862.2102809,3876.64084195,28.300824499999997,28.5617951,28.696230729999996,28.792462415303756,29.037344500685172,29.962845076350547,1024.0,0.0,507.3666666666667,6.4459735271441865,0.9998227270988053
N1_tupi_none_long_r1_780424,tupi6,0.11620951442868915,8602.588876333333,3.250539580179495,105.44634993333334,0.5658578539931463,16.763712192392113,0.11290950433404114,16.36628323333333,0.14270209550497928,59.65536005413436,0.4010996648254428,8602.854287999999,8605.7766531,8607.00192024,105.283988,105.9530365,107.37636466,16.3434625,16.4602726,16.87099494,16.82040614059406,16.862316875595237,17.016969480625892,1024.0,0.0,507.9,3.457625256414162,0.9997026761483393
infer_vllm_778989,tupi2,0.4607782392800891,2167.1836473666667,1.5550061078893223,30.173936199999996,0.8255519247374409,16.88330648635644,0.24772879277716012,16.534860899999998,1.207077866192742,59.24203808976417,0.8134216035490811,2166.8667349999996,2168.0944267,2173.10378265,29.8728325,30.8321653,32.95260836,16.481246499999997,16.5700011,20.286288300000002,16.82601693700787,16.83217601417323,17.88681251733734,128.0,0.0,127.6,1.7140393911700977,0.9985910652302142
