experiment_name,display_name,parallelism,machine_name,node_name,gpu_util_avg,gpu_util_std,gpu_util_p50,gpu_util_p90,gpu_util_p99,memory_used_avg_mib,memory_used_std_mib,memory_used_p90_mib,power_draw_avg_w,power_draw_std_w,power_draw_p90_w,temperature_avg_c,temperature_std_c,temperature_p90_c
N1_tupi_none_long_r1_798983,"TUPI (1 node)
Single GPU
Long",Single GPU,Unknown,tupi3,66.42326674500588,42.099800541011014,93.0,95.0,97.0,16652.924089306696,7632.714143793495,20510.0,198.46999294947122,84.43859584674954,257.08,55.16333725029377,6.713344124226626,61.0
N1_tupi_none_short_r1_790477,"TUPI (1 node)
Single GPU
Short",Single GPU,tupi2,tupi2,14.323758228605625,31.521669222387906,0.0,86.0,88.0,11774.995212447637,8056.691417780244,20474.0,74.97566726511072,87.55202834872223,272.61,28.52922401755436,4.280399673512934,37.0
N2_poti_PP_long_r1_790071,"POTI (2 nodes)
Pipeline Parallel
Long",PP,poti[1-2],poti1,14.614989493345785,19.866639198163732,0.0,43.0,47.0,6510.670791501284,4158.089207608992,9999.0,43.753616623861774,40.761468146347504,99.95,45.41956572495914,7.636643152219505,57.0
N2_poti_PP_long_r1_790071,"POTI (2 nodes)
Pipeline Parallel
Long",PP,poti[1-2],poti2,25.867264191207852,37.65052305766664,0.0,81.0,85.0,6185.094536918481,4600.686208506274,10619.0,40.915,45.78470569096312,107.47999999999999,54.18096457533077,5.951395844272413,63.0
N2_poti_PP_short_r1_790074,"POTI (2 nodes)
Pipeline Parallel
Short",PP,"poti[3,5]",poti3,24.271423032183016,20.489623515113845,37.0,44.0,44.0,6661.421093447073,4660.337008339679,10003.0,63.51625436215587,39.27049663131283,97.54,49.62582396277627,7.711535094644547,58.0
N2_poti_PP_short_r1_790074,"POTI (2 nodes)
Pipeline Parallel
Short",PP,"poti[3,5]",poti5,40.42581503659348,39.66783445606357,74.0,82.0,84.0,6052.5765136393875,5206.15947634582,10623.0,59.1411743180306,45.67221111359596,105.12,49.362275449101794,7.389214653127404,58.0
N2_poti_TP_long_r1_790072,"POTI (2 nodes)
Tensor Parallel
Long",TP,"poti[3,5]",poti3,26.71518434387559,42.96588664654092,0.0,96.0,100.0,6530.241656473877,4205.475721506242,10878.2,38.751535907740696,40.80029674787948,113.93,43.023064826140136,7.9278571166861775,57.0
N2_poti_TP_long_r1_790072,"POTI (2 nodes)
Tensor Parallel
Long",TP,"poti[3,5]",poti5,23.55607855867554,40.04998272219818,0.0,91.0,100.0,6058.39912351891,4389.551548359697,10875.0,34.19685765297841,39.721332016556374,110.42,44.20499918844344,7.016262255860938,57.0
N2_poti_TP_short_r1_790073,"POTI (2 nodes)
Tensor Parallel
Short",TP,poti[1-2],poti1,56.280030030030034,47.49140324837788,95.0,98.0,100.0,7567.621246246246,4694.567049208146,10895.0,69.92927177177177,45.35738289845861,118.38,50.5777027027027,7.473219568394815,59.0
N2_poti_TP_short_r1_790073,"POTI (2 nodes)
Tensor Parallel
Short",TP,poti[1-2],poti2,47.267752442996745,46.61764604321604,58.0,94.0,100.0,6573.555374592834,5069.128747115647,10895.0,57.07256677524431,46.5592657589617,113.39,52.271335504886,6.995762286707427,62.0
N2_tupi_PP_long_r1_796872,"TUPI (2 nodes)
Pipeline Parallel
Long",PP,Unknown,tupi3,28.13080444735121,17.30813782098651,37.0,40.0,46.0,16609.86963156747,8496.17853918705,21098.0,135.5668933943754,57.7888714744927,180.88,51.68846740789187,3.7329002463221594,55.0
N2_tupi_PP_long_r1_796872,"TUPI (2 nodes)
Pipeline Parallel
Long",PP,Unknown,tupi4,55.72690106295993,37.05872140957918,78.0,83.0,90.0,15948.341578086673,9380.592642619556,21614.0,143.72235486508586,78.22308455646909,197.68,51.49386753883892,5.07717612906485,56.0
N2_tupi_PP_short_r1_796872,"TUPI (2 nodes)
Pipeline Parallel
Short",PP,Unknown,tupi3,16.010218300046446,19.28886477892771,0.0,38.0,55.0,11007.530887134231,9465.16011152976,20232.0,93.71442638179283,58.2930558025049,157.53,49.84533209475151,3.020030372606342,53.0
N2_tupi_PP_short_r1_796872,"TUPI (2 nodes)
Pipeline Parallel
Short",PP,Unknown,tupi4,27.48759354076408,37.214827742967515,0.0,79.0,80.0,9612.72981488775,9907.030291687559,20958.0,89.20582512800316,79.26008413156706,194.62,49.21150059078377,5.462942865604237,56.0
N2_tupi_TP_long_r1_798983,"TUPI (2 nodes)
Tensor Parallel
Long",TP,Unknown,tupi3,54.89593608206747,47.612975995390926,94.0,100.0,100.0,14552.304497928586,8511.878163199292,21716.0,97.34000295916354,35.56822126538546,143.77,44.23604261195502,5.150015013033163,51.0
N2_tupi_TP_long_r1_798983,"TUPI (2 nodes)
Tensor Parallel
Long",TP,Unknown,tupi4,53.39071171258884,46.77508082684701,91.0,100.0,100.0,14363.770518936812,8615.021450705517,21716.0,97.67482913056178,70.03067214498513,178.07,50.72115665465875,3.326904761634109,54.0
N2_tupi_TP_short_r1_796872,"TUPI (2 nodes)
Tensor Parallel
Short",TP,Unknown,tupi3,29.387085981933758,43.9017609159031,0.0,100.0,100.0,10373.479591836734,7962.55710606796,21530.0,72.85020408163265,56.01069631521356,182.07,51.82535965205754,2.9299922392032967,55.0
N2_tupi_TP_short_r1_796872,"TUPI (2 nodes)
Tensor Parallel
Short",TP,Unknown,tupi4,27.98478295691174,43.130424384541605,0.0,100.0,100.0,9923.082972929682,8069.494692499731,21530.0,61.01978375780874,59.65580350476217,174.96,48.770943456671475,3.441096995582758,53.0
N4_poti_PP_long_r1_790467,"POTI (4 nodes)
Pipeline Parallel
Long",PP,poti[1-4],poti3,19.196892834495877,19.44053143471776,27.0,40.0,50.0,4891.022194039315,4035.906268211268,8391.0,36.161509194673435,20.989468467725384,63.03,46.63284717818643,4.778136226769464,52.0
N4_poti_PP_long_r1_790467,"POTI (4 nodes)
Pipeline Parallel
Long",PP,poti[1-4],poti1,12.149818181818182,13.006619951836589,16.0,21.0,68.0,6315.258909090909,4254.122856666603,9365.0,39.56110909090909,20.423981032274774,53.92,46.253454545454545,4.502791752816444,51.0
N4_poti_PP_long_r1_790467,"POTI (4 nodes)
Pipeline Parallel
Long",PP,poti[1-4],poti4,22.868496648579637,22.871900341459046,32.0,49.0,61.0,5915.6345355888925,4817.9826605291355,10053.0,49.03550909671242,32.554007653070585,80.05,49.94733482285349,5.142674185637305,56.0
N4_poti_PP_long_r1_790467,"POTI (4 nodes)
Pipeline Parallel
Long",PP,poti[1-4],poti2,19.40076214671324,19.902097082671244,19.0,41.0,58.0,4897.112099079072,4034.3051233491424,8391.0,34.81191806922833,24.168514489619806,63.36,51.46586217846936,1.276508025660656,53.0
N4_poti_PP_short_r1_796873,"POTI (4 nodes)
Pipeline Parallel
Short",PP,Unknown,poti3,8.74654442877292,16.6779488136638,0.0,41.0,41.0,3925.0425952045134,2915.496088025386,8391.0,26.50209308885755,22.753616470410076,68.04,41.83779971791255,6.492065424981483,53.0
N4_poti_PP_short_r1_796873,"POTI (4 nodes)
Pipeline Parallel
Short",PP,Unknown,poti1,4.894482966536026,9.979582186524905,0.0,21.0,21.0,5041.890262285197,3081.0135946482283,9365.0,23.037001808863426,19.28158449396512,53.937,42.092553512209825,5.109610732414097,50.0
N4_poti_PP_short_r1_796873,"POTI (4 nodes)
Pipeline Parallel
Short",PP,Unknown,poti4,9.947473026689382,18.838533007065102,0.0,44.0,49.0,4913.007098239636,3459.290119621602,10049.0,29.27504968767746,28.52629715547768,80.76,47.024701873935264,4.604902379285688,55.0
N4_poti_PP_short_r1_796873,"POTI (4 nodes)
Pipeline Parallel
Short",PP,Unknown,poti2,8.651900543012289,16.473251625330217,0.0,39.0,41.0,5343.205915975993,2902.2435158376243,9769.0,22.67266790511575,24.394804679264425,65.29,51.03086596170334,2.635639600893585,54.0
N4_poti_TP_long_r1_790077,"POTI (4 nodes)
Tensor Parallel
Long",TP,"poti[1-3,5]",poti3,9.280708902016704,28.524175762330778,0.0,2.0,100.0,7892.790588714606,4718.220016880797,10907.0,18.704772866164188,15.14385674258321,39.08,41.370747606437156,2.7642805235013466,46.0
N4_poti_TP_long_r1_790077,"POTI (4 nodes)
Tensor Parallel
Long",TP,"poti[1-3,5]",poti1,75.71375219683655,42.562477553829154,100.0,100.0,100.0,8519.415202108963,4326.5157578337285,10911.0,43.187352811950795,16.434950245893987,50.35,52.16981546572935,3.4199169970238894,56.0
N4_poti_TP_long_r1_790077,"POTI (4 nodes)
Tensor Parallel
Long",TP,"poti[1-3,5]",poti2,9.38875305623472,28.646017278566415,0.0,2.0,100.0,7897.710472697637,4715.678436479648,10907.0,13.72861858190709,17.878182757620923,39.05,48.88284433577832,4.006303253846828,56.0
N4_poti_TP_long_r1_790077,"POTI (4 nodes)
Tensor Parallel
Long",TP,"poti[1-3,5]",poti5,69.6390855755614,45.56902282795516,100.0,100.0,100.0,7833.680153752782,4752.475402599304,10911.0,37.26175399554926,16.63035950065955,45.54,51.457414525591744,3.421099626482324,56.0
N4_poti_TP_short_r1_790075,"POTI (4 nodes)
Tensor Parallel
Short",TP,"poti[1-3,5]",poti3,8.989147909967846,27.8867249770776,0.0,2.0,100.0,7866.817122186495,4714.261033393367,10907.0,18.990620980707394,15.395015572536035,39.85,43.76728295819936,3.4129671043530365,49.0
N4_poti_TP_short_r1_790075,"POTI (4 nodes)
Tensor Parallel
Short",TP,"poti[1-3,5]",poti1,75.06076388888889,42.93217801710767,100.0,100.0,100.0,8502.432508680555,4317.43260054611,10911.0,43.04677734375,16.329993874595782,50.32,51.913411458333336,3.48211502745673,56.0
N4_poti_TP_short_r1_790075,"POTI (4 nodes)
Tensor Parallel
Short",TP,"poti[1-3,5]",poti2,9.21531387445022,28.43482571651772,0.0,2.0,100.0,7824.982606957217,4736.466493508482,10907.0,13.483604558176728,16.65990083652321,35.92,49.56937225109956,2.8267450306456783,51.0
N4_poti_TP_short_r1_790075,"POTI (4 nodes)
Tensor Parallel
Short",TP,"poti[1-3,5]",poti5,68.72075848303393,46.01012487876018,100.0,100.0,100.0,7812.652095808383,4745.024231634098,10911.0,36.78451896207584,16.58185021811977,45.45,49.88003992015968,4.5406463585668915,56.0
