experiment_name,display_name,parallelism,machine_name,node_name,timestamp,gpu_utilization,memory_used_mib,power_draw_w,temperature_gpu_c
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:56:57.559,0,4,26.85,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:56:57.659,0,4,26.85,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:56:57.759,0,4,26.85,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:56:57.859,0,4,26.85,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:56:57.959,0,4,26.85,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:56:58.059,0,4,26.86,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:56:58.160,0,4,26.86,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:56:58.260,0,4,26.86,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:56:58.360,0,4,26.86,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:56:58.460,0,4,26.86,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:56:58.560,0,4,26.86,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:56:58.660,0,4,26.86,27
