experiment_name,display_name,parallelism,machine_name,is_communication,n_nodes,workload,request_throughput_avg,request_latency_avg_ms,request_latency_std_ms,time_to_first_token_avg_ms,time_to_first_token_std_ms,inter_token_latency_avg_ms,inter_token_latency_std_ms,time_to_second_token_avg_ms,time_to_second_token_std_ms,output_token_throughput_avg,output_token_throughput_std,request_latency_ms_p50,request_latency_ms_p90,request_latency_ms_p99,ttft_ms_p50,ttft_ms_p90,ttft_ms_p99,ttst_ms_p50,ttst_ms_p90,ttst_ms_p99,inter_token_latency_ms_p50,inter_token_latency_ms_p90,inter_token_latency_ms_p99,input_sequence_length_avg,input_sequence_length_std,output_sequence_length_avg,output_sequence_length_std,avg_concurrency
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,False,1,Short,0.4238404265777915,2356.3921076999995,14.124148692629165,31.944605766666665,0.855920379763277,18.302736235695537,0.11006209970618391,18.168428466666665,0.482075182394526,54.63859673312017,0.3254978919399965,2349.4925365,2376.9704796,2395.6544576799997,31.602657999999998,32.9764624,34.52463212,18.0153465,18.4966254,19.85467081,18.2475505,18.45577439685039,18.61544912385827,128.0,0.0,128.0,0.0,0.998734236112109
N1_tupi_none_short_r1_790477,"TUPI (1 node)
Single GPU
Short",Single GPU,tupi2,False,1,Short,0.42310575925922467,2360.4550263,12.943799557829703,32.206108066666665,1.4634307020415174,18.33266864750657,0.1020167016987659,18.070610066666667,1.347032214951915,54.54909213546119,0.2982993903362119,2356.9367395,2362.3232596999997,2408.84064297,31.70751,32.736875,37.76295969,18.0327385,18.202692799999998,22.024670250000003,18.303685913385827,18.34763629448819,18.711872443464568,128.0,0.0,128.0,0.0,0.9987221160999147
N2_poti_TP_long_r1_790072,"POTI (2 nodes)
Tensor Parallel
Long",TP,"poti[3,5]",True,2,Short,0.22201235798741975,4502.550974,16.374683047475802,547.1074064,0.7218422293505509,31.145224941732288,0.13025420756000824,31.455885533333333,0.5575902575948719,32.10821051364194,0.13388745686586692,4502.397108,4517.2698978,4547.93786955,547.0811699999999,547.6152752,549.4639941199999,31.495022499999997,31.852503099999996,32.06274647,31.14395666141732,31.262487706299215,31.505778389448817,128.0,0.0,128.0,0.0,0.9996219586962934
N2_poti_TP_short_r1_790073,"POTI (2 nodes)
Tensor Parallel
Short",TP,poti[1-2],True,2,Short,0.2282581248014599,4379.535882499999,21.70588142267252,552.4934505333333,18.627029419184048,30.142185547712778,0.09798750246086131,30.434880933333332,0.5169660379995275,33.176444097560136,0.10750273927833724,4377.258508999999,4419.517512699999,4439.4010654,545.195985,597.2096953,601.56057132,30.3230735,31.0130227,32.15215822,30.129879275590547,30.251214398425194,30.40743233636108,128.0,0.0,127.96666666666667,0.18257418583505536,0.9996646480401568
N2_tupi_TP_long_r1_796872,"TUPI (2 nodes)
Tensor Parallel
Long",TP,Unknown,True,2,Long,0.06541000742418417,15284.031846888889,40.418401464704544,3694.346846111111,21.691197329214212,22.94116323535536,0.2171466996471501,22.856975666666667,0.22594995128371043,43.59368762094383,0.41404097067070517,15298.293767,15327.691189199999,15335.139859919998,3682.8079239999997,3732.9900709999997,3737.4079298,22.867319,23.0849652,23.09105352,22.935088453648913,23.18122643990167,23.234464723348882,1024.0,0.0,506.22222222222223,3.9299420408505323,0.9997286365764695
N2_tupi_TP_short_r1_796872,"TUPI (2 nodes)
Tensor Parallel
Short",TP,Unknown,True,2,Short,0.29215830374986146,3420.8679775,27.970726967827645,536.6517973666666,12.914057888064645,22.692789582073495,0.20003724090843544,22.605656766666666,0.5712739820782834,44.07028206168455,0.3881284133386005,3416.8037385,3453.684167,3482.86770837,533.0363785,536.2145258999999,588.08650757,22.635991999999998,23.025416099999997,23.26453545,22.665456114173228,22.96635191653543,23.013718891496065,128.0,0.0,128.1,0.5477225575051659,0.9994349856586192
N4_poti_TP_long_r1_790077,"POTI (4 nodes)
Tensor Parallel
Long",TP,"poti[1-3,5]",True,4,Short,0.17351725099087362,5762.506743999999,7.990532,789.060355,1.880193,39.16099518897637,0.07772224409449101,39.09747,0.432703,25.535713128965693,0.050680349652989065,5762.506744,5768.8991696,5770.33746536,789.060355,790.5645093999999,790.9029441399999,39.09747,39.4436324,39.52151894,39.16099518897637,39.22317298425197,39.23716298818898,128.0,0.0,128.0,0.0,0.9998943290352498
N4_poti_TP_short_r1_790075,"POTI (4 nodes)
Tensor Parallel
Short",TP,"poti[1-3,5]",True,4,Short,0.17390169232504923,5749.391503,28.480947999999998,789.8776715,2.4808974999999998,39.05129001181103,0.24379405905511975,39.391222,0.44812199999999996,25.608346747576917,0.15987084670940632,5749.391503,5772.1762614,5777.30283204,789.8776714999999,791.8623895,792.30895105,39.391222,39.7497196,39.83038156,39.05129001181103,39.24632525905512,39.290208189685046,128.0,0.0,128.0,0.0,0.9998289122109584
N2_poti_PP_long_r1_790071,"POTI (2 nodes)
Pipeline Parallel
Long",PP,poti[1-2],True,2,Short,0.22076861150419,4527.8100411000005,6.513477427596825,80.3257771,0.7929619213785045,35.047520602286724,0.12676680170456944,35.00957803333333,0.20508370880423166,28.53305823551608,0.10212896239299216,4527.766669000001,4535.3554254,4541.27889325,80.15448649999999,80.8079722,83.29672584,34.9827815,35.2972554,35.4799032,35.01676183858268,35.109591248818894,35.51842719652889,128.0,0.0,127.9,0.4025778999364489,0.9995983359283765
N2_poti_PP_short_r1_790074,"POTI (2 nodes)
Pipeline Parallel
Short",PP,"poti[3,5]",True,2,Short,0.21743070863922687,4597.584487566666,7.864335397725903,79.76526933333332,0.30543255899945493,35.56409856967479,0.07194905062626175,35.494544866666665,0.16997389906350002,28.11835888217734,0.05680336766252453,4594.4964655,4606.1983973,4622.5002822199995,79.7726565,80.0470132,80.59946133,35.483558,35.5981301,36.035456090000004,35.54385860236221,35.639235837007874,35.7711666592126,128.0,0.0,128.03333333333333,0.18257418583505536,0.9996560531603369
N2_tupi_PP_long_r1_796872,"TUPI (2 nodes)
Pipeline Parallel
Long",PP,Unknown,True,2,Long,0.09790794885209125,10209.093500366665,189.33429737315316,238.13880063333332,1.468786552842708,19.707038796946716,0.37756614429842483,19.240954766666665,0.8168772610542615,50.761947543301105,0.9739072397636572,10089.581909,10444.7803384,10463.981481230001,238.32180499999998,239.6105603,241.45927554,19.352935,19.8087992,20.75940308,19.891181438754945,20.13235781853081,20.38125400033235,1024.0,0.0,507.0,6.258786926641891,0.9995514042601168
